word,is_laugh
ввхпааппхх,1
пххвпаапвх,1
ппваахвхпх,1
хаппвапхвх,1
ххахвпавпп,1
хвхапахвпп,1
апхвахвхпп,1
хвхвпахпап,1
хваппхапвх,1
хвхпапахвп,1
хппвпахахв,1
вхпхпа,1
ххпввпап,1
впхпаахвпх,1
пвпхпавх,1
ааппхввхпх,1
вхпаххаппв,1
хапппхввах,1
ппвапхавхх,1
пхапапхвхв,1
хвхпахавпп,1
аахвпвхпхп,1
пхпапвх,1
хваапхпхвп,1
характер,0
хпапвхвпах,1
вапвххппах,1
хпххпапвав,1
ахахпхппвв,1
ввпхпахпах,1
ппхпаахввх,1
ппвпхвах,1
пхпхвхавпа,1
хвпххавпап,1
впвпапхх,1
ххпаапхвпв,1
впвхапхп,1
вппххвхпаа,1
ппапвххавх,1
хапхвпхпав,1
природа,0
хаххппаввп,1
хппапхвв,1
ххаппапвхв,1
пвхапахвхп,1
хахавппвхп,1
встретить,0
пвхахпахпв,1
авппахххпв,1
хпахппвхав,1
пхваххапвп,1
ххапавхвпп,1
ппхпавхв,1
ахвапвххпп,1
вавхапппхх,1
пххвпапвах,1
ххпвхпапав,1
авхахпвпхп,1
ппвавхаххп,1
пахввапхпх,1
пвпххпавха,1
хахуи,1
ххвахпаппв,1
апвпвххп,1
хпвхпавахп,1
вппхавпх,1
ахввпхппха,1
апхахпввхп,1
ааххпхппвв,1
павпахпххв,1
пвавахппхх,1
вахахппвпх,1
вхпвххаппа,1
хвппапвхха,1
хаппахвхвп,1
хпахвпхапв,1
хпвпвхапха,1
паапхххпвв,1
паххаппвхв,1
хахаха,1
ахпахпввпх,1
хпхавхапвп,1
вхххвапппа,1
ххппхввапа,1
хввппхаапх,1
пхавахпвхп,1
апввхппхах,1
пхахвапхпв,1
паваххвхпп,1
пахвхвпапх,1
хввапппхха,1
хававхпппх,1
вххпхппваа,1
аахвппвхпх,1
ххавпавхпп,1
пххвахвппа,1
пвпвхпахха,1
вавхпппхах,1
ххапвваппх,1
авпххвпхап,1
авппапххвх,1
пвхвххппаа,1
пххвпавапх,1
апвпххвп,1
хххвпаавпп,1
ввппххаахп,1
авххпапвпх,1
авхахпвхпп,1
хпвпхахвпа,1
авпвапхххп,1
вххвппахап,1
общество,0
вхпахпвахп,1
вппххавпха,1
вхапхвхпап,1
пххавапвпх,1
авхавхппхп,1
ххпхвпавпа,1
пхпвххпваа,1
пхахахвппв,1
ххапахппвв,1
ребёнок,0
пххпахпвав,1
впхпвапхах,1
ххвпхвпаап,1
стена,0
вхпппвхаах,1
хвпаахпхпв,1
вахпххапвп,1
ахпвпххавп,1
ввахапхпхп,1
хапахвхппв,1
ппаахвпвхх,1
хпахппавхв,1
хпвпаххавп,1
пахххвпвпа,1
хпххвапвпа,1
хпвхппва,1
хапхвваппх,1
апххваппвх,1
хпапхвавпх,1
пхввхппаха,1
авххпвпп,1
ххвппхаавп,1
хпваппх,1
хпавхвахпп,1
вапахвххпп,1
ппхпвха,1
хвхпапавпх,1
ппвавххапх,1
хапхввпапх,1
ваппххавпх,1
впппахвхха,1
вххахпппав,1
пхаххвпвап,1
хпахпаввхп,1
пвхпваахпх,1
хахпавхвпп,1
впхпхпаахв,1
пхвпапх,1
создать,0
авхпппх,1
пввхппхаха,1
ппвхпаххва,1
ппххаавпхв,1
отвечать,0
пппввааххх,1
ахпвхппхва,1
павххпхпав,1
ххвпаппвха,1
ввхпаапххп,1
хаапввппхх,1
хвваппххап,1
хппвахпавх,1
хпаапхпввх,1
авхппапхвх,1
ххвппхпава,1
хавххпвппа,1
вххвхпаппа,1
хпхппва,1
пввахппхха,1
ввппххпаха,1
хпввахппах,1
хввхапппах,1
апхахпвхвп,1
хпхпаввхпа,1
ппахвхахпв,1
хпвпхапвха,1
хвххпаапвп,1
ххапппв,1
ххапвпвапх,1
ввхпахпп,1
пхапхввапх,1
хпха,1
пхпхапввах,1
хвахпппхва,1
хвппхапавх,1
паваххппвх,1
ввпхааппхх,1
ахппввххпа,1
ахххпввпап,1
апвпхвапхх,1
ахпвавхппх,1
вхпхаппавх,1
пхпавххвап,1
апхпхпаввх,1
пвппхвхаах,1
хахпавппхв,1
вавппхпахх,1
хпавпавпхх,1
ппхпвхавха,1
хпввпахапх,1
хвахваппхп,1
впппвхахха,1
пвпхвпах,1
вхпаахпвпх,1
ххаппвпахв,1
вхпвахппах,1
апххввппха,1
ххввппхпаа,1
ахвхвпахпп,1
ппхва,1
ппвапххахв,1
вхавхавха,1
пхвахппв,1
пвавхпхапх,1
хвххпаппва,1
свобода,0
впавхппхха,1
хвпвппха,1
пвахахвппх,1
апвххвхапп,1
хпвпхавп,1
хвпххпвапа,1
пахввппх,1
папххавхпв,1
пппвхаавхх,1
ппххва,1
вхпаахвхпп,1
вппхвхаапх,1
хххаавпвпп,1
хаахввхппп,1
хввпахаппх,1
пвхпах,1
ххвапахппв,1
пхаххпвпва,1
ахвхпхвппа,1
авххвппахп,1
ххсс,1
аппххпхавв,1
пппвхавхах,1
авпхпвхахп,1
пхваппвх,1
хпхппвхава,1
вппахахвпх,1
павпвахпхх,1
хвпахппхав,1
впаххпхапв,1
вапвхпххпа,1
папвавхххп,1
пхвхпапавх,1
хввахпахпп,1
аввахпхпхп,1
хавхпавппх,1
пхвпвххаап,1
ппаххвахпв,1
хххпввапап,1
ппвхпххваа,1
ххавхапвпп,1
ппавпхвхах,1
ххвахпавпп,1
вххвхпапап,1
аххпвпапвх,1
хппавапхвх,1
пхвхаппхва,1
папахвхпхв,1
ппвхвхпаха,1
ахвпвпххап,1
вапхппхвах,1
ввхапахппх,1
хпвхпавп,1
ппхвпаахвх,1
ппапвахвхх,1
аппввхпахх,1
ввахпппх,1
хаппвхвпха,1
апхпхавпвх,1
впапххвпха,1
ввххаапхпп,1
по,0
вхпххппава,1
ахвахпвхпп,1
ххаавхпвпп,1
пххаввхпап,1
паххпахвпв,1
вхпхппа,1
пхвхапвпах,1
ххпахавппв,1
авхапхпвпх,1
аапххпввпх,1
вппхвхаахп,1
вааххппвхп,1
хвхвхаппап,1
хпхваахппв,1
пхвппхвхаа,1
аппввпххах,1
хвппвпахха,1
аапхвпвххп,1
хввапппх,1
ппххвхвапа,1
апвххпхпав,1
ххввпппаха,1
пхпввхпаах,1
хвхвпппаха,1
пххпапв,1
пхваппвхах,1
ххппваапхв,1
хвапвпапхх,1
ахпххпвпва,1
вппхахвпах,1
авхпп,1
аапхввпххп,1
вахаппххпв,1
хпапвпхв,1
ппахвхпвха,1
впппхаххва,1
хвхвпппхаа,1
вххпвахапп,1
папхахпввх,1
хпхвхаавпп,1
хввпхппаах,1
ххапввхапп,1
вхппхапвах,1
папвахпвхх,1
пхахахввпп,1
ххпхвпапав,1
пхппахвхав,1
ваппахвхпх,1
аххппхпвав,1
пхпаввпхах,1
аввхпаппхх,1
хваваххппп,1
пхпаапхвхв,1
хааппвпвхх,1
ппахпхв,1
вавххаппхп,1
паапвхпвхх,1
хвпахпвпах,1
пхпхпавхва,1
вапхххпапв,1
хахаха,1
ппхвпхавха,1
пввапхххпа,1
хвапахпвпх,1
апххаппхвв,1
авххппвхпа,1
вххппвапах,1
ахахппхпвв,1
пхввхаппах,1
впхахвпхап,1
ваппвхпх,1
хахпвпахпв,1
хххпавпапв,1
пхпхпахвва,1
ппхваххапв,1
пххпхававп,1
ппвахпхахв,1
хвпвхапхпа,1
ивхих,1
паахпххпвв,1
вапавхпхпх,1
хвппапххав,1
пвххпхапав,1
авпхппаххв,1
пвпааххвхп,1
апавпхвххп,1
пвваппххах,1
вхвпахапхп,1
апххвпхавп,1
хахаха,1
ахпхапввпх,1
пхапввхахп,1
пххпвпав,1
хппвхап,1
ахвххавппп,1
пхаввппх,1
ппаахвхпхв,1
вахпахппвх,1
ххававхппп,1
уахих,1
ввпхапахпх,1
хппаавхпвх,1
аапхпвхпвх,1
пвпххпахва,1
хпахахвппв,1
ахвпхвпахп,1
пвпхххпаав,1
паввхпхпха,1
хпвххапвап,1
ппавххп,1
пвххпавапх,1
хахпахпввп,1
ппхпхааввх,1
аапхпвххвп,1
хпхапвахпв,1
авхппхпвах,1
впапвххп,1
хпхвппва,1
пххвхаппва,1
пхпавахвпх,1
вахпхппхав,1
хпвахпапхв,1
хвавпапхпх,1
хвавхпаппх,1
апвахпххпв,1
ххвпвхапап,1
пававхпххп,1
впппхххаав,1
хвхпахпавп,1
ахавпхппвх,1
ахпвпаххвп,1
ахавхппвпх,1
вхпхвапхпа,1
вппахавххп,1
павахпвхпх,1
ххаппвхвпа,1
хавхпхвпап,1
вхппаххапв,1
пхппхавахв,1
пахвххпвпа,1
пвппхахвах,1
ахвхавхппп,1
впххвапхпа,1
ахппхпв,1
колено,0
хпххваппав,1
хавхпхпавп,1
хавхвппапх,1
вахпхапхвп,1
впвхпапхах,1
ххпаввппах,1
пххвахпвап,1
аххпппвв,1
хвпхваппах,1
пвхвпхап,1
ххвпапхвпа,1
ппвхвпаахх,1
апвххахпвп,1
вахпхппвах,1
вппвхахапх,1
ххвапвппах,1
пхаваппвхх,1
хпввппха,1
ахвппх,1
впхахваппх,1
хпвахвппха,1
хававпхппх,1
ппхваахвхп,1
хваххапвпп,1
пхахапвхвп,1
вахпхпвахп,1
апвххпхвпа,1
пахаххпвпв,1
аввахпхппх,1
пхвпвпаахх,1
пххпвхпава,1
пхпхавапхв,1
пвапхапхвх,1
хпх,1
ппхпххавва,1
хпваахппвх,1
пххввапп,1
пааввхпххп,1
впвпапхахх,1
ххвпхпапав,1
ппхвхпваха,1
хвхпппхваа,1
пахввхпхап,1
мальчик,0
хпвпххпава,1
хпхвпавахп,1
аапхх,1
папхвхп,1
впавхпхапх,1
хааппвпххв,1
вхпаххпавп,1
вхххвапапп,1
апхавпвххп,1
хппвхпхава,1
хахахах,1
хпхвпаавпх,1
аппхвпахвх,1
апахппввхх,1
вххпвпахап,1
ввхпххаапп,1
ахххпппавв,1
хавха,1
хппвахвахп,1
аппхаххввп,1
хввхапхпап,1
апвпхахвхп,1
вхпапхахпв,1
хаппхвпавх,1
пввпхапхха,1
хвпвахахпп,1
неизвестный,0
пвхпхпхаав,1
пвхапхвапх,1
паапвххпхв,1
вхпапвхпах,1
хаавппвхпх,1
ппапхввх,1
ауихх,1
апхпвпххва,1
следовать,0
вххаавппхп,1
ваххпахвпп,1
павхаппххв,1
ахпхпввпах,1
хххапавппв,1
хпхпавпхва,1
хвааппхпвх,1
хвпвхапахп,1
ппавахххпв,1
хпхпвхаапв,1
вппххпхаав,1
ппваххапхв,1
вахппххвпа,1
аххаввпппх,1
хпхпввап,1
пахпапхвхв,1
вхпаххвпап,1
ххахавпппв,1
пахпхввп,1
хвхахпвппа,1
хвхпппва,1
вхаххаппвп,1
аахпввпхпх,1
ппваахпвхх,1
вавпхххппа,1
хпапвахвхп,1
ппхвхап,1
ахпвхваппх,1
авххппвп,1
вппхапхв,1
пхпхаввапх,1
пхавппхв,1
авхахпхпвп,1
дерево,0
аппхпхахвв,1
хпвпхпва,1
хвхпаапхпв,1
апппвххахв,1
километр,0
пвпхахвпха,1
впхахпвп,1
хаххавпппв,1
вхппахавхп,1
пххвхпвпаа,1
ахвхха,1
ппаххвпв,1
хпахвавпхп,1
хаппваххвп,1
труд,0
пхваххвпап,1
ваапхххпвп,1
вппахвхп,1
ввппхааххп,1
выходить,0
ппвхпвхаах,1
пхпавхпвха,1
вахппвпахх,1
ххпапввп,1
хпхаввахпп,1
хвпппххава,1
ххпвпхвпаа,1
паввххапхп,1
пхаахвппвх,1
ввхххпппаа,1
апхапвххвп,1
хпвхпахпав,1
хпаппвахвх,1
хахавпвппх,1
двое,0
хапхвпвпах,1
хвапвппх,1
ахпхппахвв,1
хапвппвхах,1
ааввппхпхх,1
хпхаапхпвв,1
пахххапввп,1
хпххпвапва,1
авпвпххпах,1
хапвхпвхап,1
хвппахахвп,1
пвахапххпв,1
вхпапхвпах,1
апвхпхвхап,1
вахпппх,1
пхввххппаа,1
впххпвапах,1
пвпхапахвх,1
пхахваппхв,1
хвхвааппхп,1
ппхпавхвха,1
вхваппхахп,1
хвапххппва,1
павххппавх,1
хпавхвхапп,1
ппавпваххх,1
ппваавхххп,1
хахпаввппх,1
пааппхвххв,1
хпввпапхха,1
пхпавх,1
ахпхпвхапв,1
пвхпвхпхаа,1
папххпвхав,1
хппхапввха,1
пхпхвхапав,1
аавхпвпхпх,1
ввхпхпаапх,1
вххпвпхапа,1
хппвавххап,1
ввпахпахпх,1
ххпапхвпва,1
хпхпахввпа,1
пвхххапапв,1
вхппххпваа,1
ахвхапппхв,1
апхвхапвпх,1
пвхппваахх,1
авпххвпп,1
тень,0
хпххапавпв,1
хвпаахпхвп,1
авхпххавпп,1
аахахх,1
хпвхваахпп,1
вахххвппап,1
вхахвапхпп,1
хахаха,1
ваппаххпвх,1
впвхпхахап,1
хапвхвппах,1
хахпапхвпв,1
пхапхввхап,1
вхпххапавп,1
хаавпхвппх,1
апхвапхвпх,1
впвахпахпх,1
хвхппхапав,1
хвхппахапв,1
вхапххпавп,1
авхххавппп,1
пвхапхпвах,1
ахвпп,1
пвахпхпв,1
апахпхпввх,1
сначала,0
вахпавпххп,1
папвпваххх,1
ххахпапвпв,1
вхпавхппах,1
ппхпххаавв,1
пхаввпхапх,1
вахвпхппах,1
апхпахпхвв,1
пвппхахавх,1
ппвхвахп,1
хпвпваххпа,1
авппвапххх,1
аапхххвппв,1
хпаппввахх,1
хппхапв,1
авпхппвхах,1
аппапхвххв,1
пппаахххвв,1
ввхппхахпа,1
ххппхвпава,1
пхапапхввх,1
папхпхвавх,1
ппввпаххха,1
ахвавхппхп,1
корабль,0
разговор,0
ппхпваххав,1
хаххпвппва,1
знакомый,0
впвапаххпх,1
ахпхвахппв,1
вхпахппхав,1
пхпхавахвп,1
хпвапхвхпа,1
вхвпппах,1
ххаахпвппв,1
ппхахпахвв,1
ахпхвпхпва,1
хпввпхахпа,1
ахппавхвпх,1
ахвхпвхапп,1
хввхпапахп,1
авахппхвхп,1
ахавхппхпв,1
вавпппххха,1
апхпвпхв,1
ххпвпапхав,1
ххпахпапвв,1
хавахпвхпп,1
паахввпххп,1
пхвапхвахп,1
хпхвахвапп,1
пвавххппха,1
авхпвхахпп,1
пвхвпхапха,1
хаппвпахвх,1
вппха,1
хвпахвхапп,1
паххвхпапв,1
аапвхвххпп,1
хпппвхавах,1
вхпххпаапв,1
ххапвхаппв,1
аппхвпхвах,1
ваххапвппх,1
вхпахпвпха,1
хпвавххпап,1
хпвпвххпаа,1
пхахаппвхв,1
хвхппвахпа,1
апххапввхп,1
хахаха,1
хпвпхвхаап,1
пхавпххвпа,1
хахпхвавпп,1
ххвпхвппаа,1
ахвхпхпвпа,1
ппхпахахвв,1
ахаххпвпвп,1
хвпппавахх,1
авппхахпвх,1
ххпхвавапп,1
ппвхвхпхаа,1
ахпвппаххв,1
аапхвххпвп,1
пхпвхвпа,1
простой,0
пхвххапапв,1
пххпахаввп,1
павххвпахп,1
хвахппвахп,1
хапппхаввх,1
вахахппвхп,1
пхппввахха,1
ххпапвапвх,1
пхвхпаавхп,1
аххпвпвхап,1
ахпввхпапх,1
хххааппвпв,1
вппхххвапа,1
хахпввпхап,1
хпвавахпхп,1
хахввапппх,1
хааппввххп,1
пвппааххвх,1
ппвваххапх,1
хахвппхпав,1
хпавахппвх,1
собираться,0
папхпхввха,1
ххппвахапв,1
хпвпапхв,1
пвпхавхахп,1
ппхахвапхв,1
пвппаххавх,1
впппххахва,1
ппвхпхахав,1
хавпхапвпх,1
вхвахппп,1
пхахвпвпха,1
папхаввпхх,1
хвхппвпа,1
вппахххвап,1
ахппввахпх,1
скоро,0
пвапхххвап,1
аххпвпвпха,1
апхвхвппах,1
хвхппаахвп,1
ппхахвахвп,1
вхвхапахпп,1
ввпххапапх,1
вхпавххппа,1
ххпхвваапп,1
аххпахппвв,1
вхвппхаахп,1
ваапхвпхпх,1
пвххапхвпа,1
хаппавхпвх,1
вхппхаавпх,1
ххахпваппв,1
аппххвхапв,1
вххвпхаапп,1
пхвппахв,1
пхах,1
пваавхппхх,1
ахвххпвпап,1
хппвапавхх,1
хппахвхпва,1
ахвххвппап,1
ххахппвавп,1
вапхпхвапх,1
хпаапвпхвх,1
ппххпвваах,1
пххаавпхвп,1
хвахпвпапх,1
хххапввпап,1
апвххвпхап,1
вхваппхапх,1
вппвахпхха,1
аппхавххпв,1
хпвапххвап,1
вххпаапхпв,1
впавпхаххп,1
впаххпхпва,1
хвапхпвпах,1
хпхвппа,1
хвхпвхппаа,1
вхвпхппа,1
пваахпвхпх,1
ххаппаввпх,1
апавххпвпх,1
ппхпахвв,1
пппхввахах,1
ппваахххвп,1
хпвппвххаа,1
хппввхапах,1
ппхахпвавх,1
ввхапапххп,1
хвпхапхпав,1
пхппааххвв,1
вхапвххапп,1
хпаавхвхпп,1
пвахххвпап,1
впахпхавхп,1
хахвпвахпп,1
апвппахвхх,1
вахпхахппв,1
хвпавпапхх,1
хвавхппхпа,1
пвхаххавпп,1
пахвххпвап,1
авапххпвхп,1
авпвхпхп,1
хвпапххпав,1
хххппававп,1
авхвппхахп,1
хахппхввап,1
хвавапхпхп,1
ахпвхпавхп,1
впппахххва,1
бы,0
вхвппхапха,1
авхххпппва,1
дурак,0
ахппхпввха,1
впхппххваа,1
вхааххппвп,1
хаахха,1
хпвпахвхпа,1
пхаххппавв,1
авхавхпхпп,1
аххппхпвва,1
хахпппввах,1
ххпавпвапх,1
пхвваахпхп,1
хвппваапхх,1
пхапхвп,1
пвхаапхпхв,1
пппхавхвах,1
хпвппхваха,1
острый,0
авпппваххх,1
хпвххапавп,1
хввпхппаха,1
ххпававхпп,1
пппхаххавв,1
авпхпаххвп,1
пххпвавахп,1
апхвппхв,1
хпахпхвпав,1
вппхапаххв,1
ппвапхвхах,1
пхвхпхавап,1
вапхаппххв,1
вххпапхвап,1
пхаахпввпх,1
хахаха,1
хпхпхапавв,1
пххввааппх,1
ппахвхавпх,1
ппавхпвхах,1
пахвппхвха,1
пхпхаапввх,1
хозяин,0
пппахавхвх,1
папххвпвах,1
ппавххавпх,1
хапхпавпхв,1
пхппвхав,1
апхвахпхвп,1
пхвпахвп,1
павпххапхв,1
хпвавпххап,1
пвахпхвпах,1
пхвпххавпа,1
метр,0
пвхвхпхапа,1
ваппхвапхх,1
хпввпааххп,1
пххахвпвпа,1
хваахпхппв,1
хахппввахп,1
паахпввххп,1
ахпппвахвх,1
ххаапппввх,1
вхпавпахпх,1
ппвххпхаав,1
пвахвхаппх,1
пвавпхпхах,1
хпахпвавпх,1
пвпхахапвх,1
впхаххвппа,1
аппахввххп,1
впхаахппхв,1
хввхпхапап,1
павппхххав,1
впвапххахп,1
ппаваххпхв,1
ппавпвхх,1
павпахххпв,1
ахвххапппв,1
пхввапхахп,1
пахпвхвпха,1
пххахапвпв,1
хваххаппвп,1
пвххвпхаап,1
ппваххпахв,1
вппхапвх,1
пхапавпххв,1
пхппхаавхв,1
впхахппавх,1
аввпхпххап,1
ххвпахвпап,1
павхвхапхп,1
апваххпвпх,1
хпвхппахав,1
ваапххппвх,1
пвххаапвпх,1
хпаввпхапх,1
пппааххвхв,1
вавпхпхп,1
аапхпхпввх,1
папхххвпва,1
пхпвапх,1
пвпхаавпхх,1
павхваххпп,1
выше,0
аавххвхппп,1
впвхпапахх,1
хвавхпхпап,1
ппвххвхаап,1
пппаххвавх,1
пхавхавппх,1
хпвхавппха,1
пвппахххва,1
ахах,1
ваппахххпв,1
пхпввпхаха,1
ваххпапвпх,1
хппахввхап,1
аппхпахвхв,1
хвххапппва,1
аххпаппвхв,1
хвапххвапп,1
впхапххавп,1
ххпвпавп,1
пвапхпвхха,1
ххвпаппхва,1
пхвапхвапх,1
хвпвппах,1
вппвхпххаа,1
пхаппхвхав,1
сказать,0
ппхвхпхаав,1
хпахвппхав,1
хвавапххпп,1
пхахппхавв,1
хпавхпавпх,1
вхавппхпха,1
ахвпппхавх,1
пвхппвахах,1
хххаппвпав,1
вппаапвххх,1
павпаххвхп,1
павхххпавп,1
вхпхпвапах,1
аппххпаввх,1
хвпвпххапа,1
паппххввха,1
пахахпввпх,1
паххпвпхав,1
хввх,1
впаапхххпв,1
пахвпхавпх,1
пвхвхпап,1
хпахпвпвах,1
ххвпваппах,1
ппаххвавхп,1
хавпапхпвх,1
впвааххппх,1
папхахпвхв,1
впвппхаахх,1
ххвавппп,1
аппавхххпв,1
ахвхппхапв,1
ххввхапппа,1
пхпвхахпва,1
ххпавпп,1
ххвавапхпп,1
вхаппхавпх,1
аппввапххх,1
вххпхапавп,1
ввххаппахп,1
пахапввпхх,1
папвавххпх,1
ахппхпхвав,1
впхапххпва,1
впвахпхп,1
хпхвахпапв,1
маленький,0
вхаппвххап,1
хпххавпвап,1
пахпах,1
хпха,1
ппхпвхвхаа,1
пхппвахвах,1
пхпххввапа,1
ххаахппввп,1
совершенно,0
хахаха,1
хппвахавхп,1
вхапхапхпв,1
павпхваххп,1
пвпапхвхха,1
хавпхвппах,1
пхпахпаввх,1
вахххпппав,1
вхпвхаапхп,1
вахххпапвп,1
апвхапххвп,1
папавххвхп,1
пхпаваххпв,1
хаввппххап,1
слава,0
паваххпвхп,1
ввпхапххап,1
вппаххпхва,1
ахаппхввпх,1
хавхвхппап,1
аппхвхавпх,1
пваппвхахх,1
впппвхххаа,1
ппававпххх,1
авххпвпахп,1
вхпавппхах,1
ахвхах,1
пхахваппвх,1
